,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,mode,speechiness,tempo
123,0.766,0.549,0.5000971230134454,0.437,0.000407,0.133,0.0,0.0263,0.39787295297126113
124,0.232,0.561,0.5316197278968611,0.709,0.0,0.0992,1.0,0.0484,0.4869091771240834
125,0.979,0.417,0.32253724006445816,0.134,9.61e-05,0.101,1.0,0.0321,0.35214821588849937
126,0.393,0.616,0.5563364923175054,0.757,0.00267,0.165,0.0,0.0337,0.41057426882758385
127,0.0852,0.558,0.5298134101629897,0.746,0.000302,0.258,0.0,0.0389,0.508459076360311
128,0.161,0.68,0.5957356520003194,0.524,0.0015,0.101,1.0,0.0306,0.423605818896171
129,0.145,0.566,0.5766096921863961,0.634,0.000716,0.0814,1.0,0.0443,0.6091974461887584
130,0.755,0.334,0.5868226939504897,0.387,3.94e-05,0.113,1.0,0.0332,0.5502167691239479
131,0.79,0.569,0.530514451973199,0.31,0.0,0.341,1.0,0.0371,0.4117089197107487
132,0.331,0.636,0.4998205291771578,0.758,1.01e-05,0.16,1.0,0.0427,0.4107817236532372
133,0.568,0.727,0.5265591161052097,0.486,0.0,0.0889,1.0,0.0325,0.4997459736828735
134,0.1,0.577,0.46618440357606317,0.553,0.0,0.21,0.0,0.0479,0.6180206269369506
135,0.3,0.611,0.5990778483929806,0.512,0.000851,0.219,0.0,0.0361,0.4233221561753797
136,0.579,0.516,0.3968699526476869,0.482,0.0,0.307,1.0,0.0421,0.7204948432657623
137,0.428,0.574,0.479543687050239,0.647,0.0,0.124,0.0,0.0618,0.6140366475300174
138,0.354,0.651,0.493809368941416,0.688,2.57e-06,0.0741,1.0,0.109,0.4022803095734051
139,0.616,0.587,0.410866678843157,0.0548,0.827,0.0999,0.0,0.0345,0.46531270639638267
140,0.174,0.607,0.4753013285714738,0.849,2.03e-05,0.0964,1.0,0.0444,0.3809886704262561
141,0.321,0.827,0.4661506658174803,0.49,0.000137,0.095,0.0,0.055,0.4784246981320598
142,0.427,0.84,0.5073467609593645,0.884,0.0,0.0885,1.0,0.334,0.4996147267523582
143,0.00892,0.464,0.5259000110471614,0.701,0.309,0.335,0.0,0.0411,0.35561990888922757
144,0.92,0.245,0.44460274561817603,0.00336,0.0234,0.119,0.0,0.0451,0.5078367118833511
145,0.257,0.671,0.55264543882965,0.373,8.01e-05,0.0481,1.0,0.0323,0.39254686785550985
146,0.361,0.501,0.49565586053416677,0.556,0.000133,0.115,1.0,0.0266,0.3472412741960067
147,0.0477,0.418,0.47013925296021397,0.965,3.88e-06,0.561,0.0,0.163,0.591707734254602
148,0.00949,0.653,0.5509073566187568,0.783,0.0,0.0791,1.0,0.0298,0.5080187640772917
149,0.532,0.424,0.5424839981814751,0.443,0.000389,0.673,1.0,0.0382,0.5574819217937645
