track_name,artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
Luar,"colours in the dark,Beatmund Noise",0.942,0.628,137143.0,0.197,0.88,8.0,0.0803,-17.944,0.0,0.0367,139.865,4.0
Lucky,Jason Mraz,0.294,0.625,189613.0,0.414,0.0,0.0,0.151,-8.7,1.0,0.0369,130.088,4.0
Lucky,Radiohead,0.053,0.213,258813.0,0.4,0.612,11.0,0.111,-9.813,0.0,0.0324,133.369,4.0
Lucky You (feat. Joyner Lucas),Eminem,0.0627,0.876,244679.0,0.786,0.0,10.0,0.127,-4.884,0.0,0.306,153.068,4.0
Lucy,Still Woozy,0.43,0.647,142500.0,0.537,0.000258,6.0,0.119,-12.006,0.0,0.21,84.46,4.0
Ludens,Bring Me The Horizon,0.000551,0.294,280152.0,0.679,5.13e-05,8.0,0.165,-6.182,1.0,0.152,198.03,3.0
Lullabies,Dimension 32,0.982,0.66,159133.0,0.105,0.924,4.0,0.0799,-20.191,1.0,0.032,75.022,4.0
Lullaby,Bcalm,0.918,0.696,137500.0,0.159,0.906,3.0,0.2,-13.969,1.0,0.0422,120.016,4.0
Luna,Tenno,0.936,0.395,154615.0,0.379,0.977,9.0,0.344,-13.785,0.0,0.192,207.841,3.0
Lunar Phase,Atlis,0.974,0.56,114706.0,0.134,0.921,7.0,0.127,-21.288,0.0,0.0342,101.993,4.0
Lunatic,UPSAHL,0.218,0.716,141227.0,0.703,2.81e-06,9.0,0.0926,-4.997,0.0,0.0764,124.099,4.0
Lungi Dance,Yo Yo Honey Singh,0.314,0.684,275399.0,0.958,1.94e-06,1.0,0.618,-4.793,1.0,0.264,163.95,4.0
Lungs,Yoste,0.512,0.548,190773.0,0.492,0.000468,6.0,0.108,-7.813,1.0,0.0721,78.786,4.0
MAKE A MESS,blackbear,0.00175,0.823,159734.0,0.455,1.24e-06,11.0,0.0559,-7.839,0.0,0.0466,126.96,4.0
MAKE YOU SCREAM,Phonked,0.0956,0.689,166600.0,0.727,0.783,8.0,0.0607,-7.344,1.0,0.0363,129.974,4.0
ME BECAUSE OF YOU,HRVY,0.0797,0.653,173093.0,0.866,1.11e-06,10.0,0.17,-4.898,1.0,0.0552,121.972,4.0
ME MYSELF & I,Kid Trunks,0.174,0.581,129187.0,0.385,0.0,9.0,0.122,-9.758,1.0,0.0359,130.06,4.0
MEGALOVANIA,Toby Fox,0.000377,0.719,156000.0,0.632,0.855,7.0,0.0362,-9.849,1.0,0.0602,119.987,4.0
METAMORPHOSIS,INTERWORLD,0.426,0.593,142839.0,0.641,0.901,7.0,0.122,-12.727,0.0,0.0992,175.014,4.0
MIA (feat. Drake),Bad Bunny,0.0141,0.817,210368.0,0.539,0.000496,6.0,0.099,-6.349,0.0,0.0621,97.061,4.0
MIDDLE OF THE NIGHT,Elley Duhé,0.0228,0.41,184448.0,0.611,0.0,4.0,0.116,-8.271,0.0,0.0467,185.727,3.0
MIDNIGHT,PLAYAMANE,0.0053,0.633,121972.0,0.433,0.28,1.0,0.145,-8.833,1.0,0.229,122.088,4.0
MISA MISA!,CORPSE,0.0302,0.672,85895.0,0.981,2.36e-05,1.0,0.648,-1.252,1.0,0.181,95.014,4.0
MJ,Lund,0.492,0.785,180984.0,0.422,0.0452,6.0,0.095,-11.88,0.0,0.0531,122.035,4.0
